name,lat,lon,type,osmid,snap_dist_m
UNESA Ketintang,-7.3137215,112.7244281,kampus,1722907906,38.6
ITS Sukolilo,-7.2750728,112.7963142,kampus,2320326413,37.6
Universitas Airlangga,-7.2829768,112.7809513,kampus,839668688,20.4
Universitas Surabaya,-7.3018365,112.77807,kampus,6862814076,10.5
Universitas Negeri UM,-7.2670298,112.7330868,kampus,6829283784,113.5
STTS Surabaya,-7.2606827,112.7512112,kampus,1685005288,46.4
Tunjungan Plaza,-7.25698,112.7375645,mall,4465908463,80.2
Grand City Mall,-7.2476617,112.7508026,mall,4478222232,57.8
Galaxy Mall,-7.2907803,112.7806603,mall,4451570036,60.4
BG Junction,-7.2513768,112.7307692,mall,2612155875,55.6
Ciputra World,-7.2908467,112.7390539,mall,4218209457,28.5
Royal Plaza,-7.3031451,112.7314876,mall,1722906503,66.1
Stasiun Gubeng,-7.2659309,112.7517984,transportasi,2304458296,83.0
Stasiun Pasar Turi,-7.2453573,112.7269248,transportasi,4533089900,71.6
Terminal Bungurasih,-7.3447255,112.7377229,transportasi,4567936136,1302.6
Terminal Wonokromo,-7.2997201,112.7317335,transportasi,3730492708,64.9
Pelabuhan Tanjung Perak,-7.2001767,112.7328553,transportasi,1507762774,520.6
RSUD Dr. Soetomo,-7.2687085,112.7504038,rumahsakit,1283196141,34.4
RS Premier Surabaya,-7.3022109,112.7660073,rumahsakit,1719408737,39.4
RS Siloam Surabaya,-7.261266,112.7418481,rumahsakit,5579917559,87.7
Balai Kota Surabaya,-7.2494321,112.7377148,pemerintahan,264874789,28.7
Tugu Pahlawan,-7.2455726,112.7371861,landmark,3639627248,48.2
Masjid Al-Akbar,-7.3324113,112.7301764,landmark,5009856305,121.0
Kebun Binatang Surabaya,-7.2953955,112.7309275,wisata,1722872954,60.5
Monkasel Surabaya,-7.2639015,112.7480751,wisata,5595745555,48.3
House of Sampoerna,-7.2383926,112.7311809,wisata,5541695748,39.6
Simpang Jl. Ahmad Yani,-7.3126568,112.7313593,persimpangan,8958803926,140.0
Simpang Wonokromo,-7.2997201,112.7317335,persimpangan,3730492708,64.9
Simpang Darmo - Polda,-7.284022,112.7345702,persimpangan,1685220139,49.3
Simpang Urip Sumoharjo,-7.2729217,112.7313714,persimpangan,5587366957,123.7
Simpang Basuki Rahmat,-7.2610097,112.7390343,persimpangan,13318656812,134.9
Simpang Embong Malang,-7.2591085,112.7346493,persimpangan,1682372851,72.6
Simpang Pemuda - Gubernur,-7.255475,112.7449068,persimpangan,4465683724,53.8
Bundaran Waru,-7.3478474,112.7296106,persimpangan,5618701194,1654.1
Simpang Kenjeran,-7.2318794,112.7750643,persimpangan,7680094846,15.2
Simpang Jl. Diponegoro,-7.2786048,112.7453852,persimpangan,9134387621,95.5
Simpang Raya Darmo,-7.2906934,112.7363385,persimpangan,3733180955,50.6
Simpang Joyoboyo,-7.3058713,112.7288486,persimpangan,1722906774,22.0
Simpang HR Muhammad,-7.2916063,112.7550023,persimpangan,1685015267,11.8
Simpang Mulyosari,-7.2549593,112.7853988,persimpangan,9719697293,44.2
